name,context,price,state_template,question_prefix,question_affect,response_prefix,task_3a,task_3b,is_price_space,price_type,price_rounded,closest_price_space,item,parsed_response,model,run,temperature,parsed_response_clean
Steve,Steve bought a new electric kettle,50,It cost $50.,"A friend asked him, ",Was it expensive?,"Steve said, ", Please provide the probability that someone buys the electric kettle with this price., Please provide the probability that the buyer thinks that the electric kettle is expensive.,True,round,50,50,electric kettle,0.3,gpt-4o-mini,iter4,1.0,0.3
Owen,Owen bought a new electric kettle,51,It cost $51.,"A friend asked him, ",Was it expensive?,"Owen said, ", Please provide the probability that someone buys the electric kettle with this price., Please provide the probability that the buyer thinks that the electric kettle is expensive.,False,sharp,50,51,electric kettle,0.4,gpt-4o-mini,iter4,1.0,0.4
George,George bought a new electric kettle,500,It cost $500.,"A friend asked him, ",Was it expensive?,"George said, ", Please provide the probability that someone buys the electric kettle with this price., Please provide the probability that the buyer thinks that the electric kettle is expensive.,True,round,500,500,electric kettle,0.9,gpt-4o-mini,iter4,1.0,0.9
Patrick,Patrick bought a new electric kettle,501,It cost $501.,"A friend asked him, ",Was it expensive?,"Patrick said, ", Please provide the probability that someone buys the electric kettle with this price., Please provide the probability that the buyer thinks that the electric kettle is expensive.,False,sharp,500,501,electric kettle,0.95,gpt-4o-mini,iter4,1.0,0.95
Albert,Albert bought a new electric kettle,1000,It cost $1000.,"A friend asked him, ",Was it expensive?,"Albert said, ", Please provide the probability that someone buys the electric kettle with this price., Please provide the probability that the buyer thinks that the electric kettle is expensive.,True,round,1000,1000,electric kettle,1.0,gpt-4o-mini,iter4,1.0,1.0
Gary,Gary bought a new electric kettle,1001,It cost $1001.,"A friend asked him, ",Was it expensive?,"Gary said, ", Please provide the probability that someone buys the electric kettle with this price., Please provide the probability that the buyer thinks that the electric kettle is expensive.,False,sharp,1000,1001,electric kettle,1.0,gpt-4o-mini,iter4,1.0,1.0
Matt,Matt bought a new electric kettle,5000,It cost $5000.,"A friend asked him, ",Was it expensive?,"Matt said, ", Please provide the probability that someone buys the electric kettle with this price., Please provide the probability that the buyer thinks that the electric kettle is expensive.,True,round,5000,5000,electric kettle,1.0,gpt-4o-mini,iter4,1.0,1.0
Ethan,Ethan bought a new electric kettle,5001,It cost $5001.,"A friend asked him, ",Was it expensive?,"Ethan said, ", Please provide the probability that someone buys the electric kettle with this price., Please provide the probability that the buyer thinks that the electric kettle is expensive.,False,sharp,5000,5001,electric kettle,0.95,gpt-4o-mini,iter4,1.0,0.95
George,George bought a new electric kettle,10000,It cost $10000.,"A friend asked him, ",Was it expensive?,"George said, ", Please provide the probability that someone buys the electric kettle with this price., Please provide the probability that the buyer thinks that the electric kettle is expensive.,True,round,10000,10000,electric kettle,1.0,gpt-4o-mini,iter4,1.0,1.0
Victor,Victor bought a new electric kettle,10001,It cost $10001.,"A friend asked him, ",Was it expensive?,"Victor said, ", Please provide the probability that someone buys the electric kettle with this price., Please provide the probability that the buyer thinks that the electric kettle is expensive.,False,sharp,10000,10001,electric kettle,1.0,gpt-4o-mini,iter4,1.0,1.0
Albert,Albert bought a new watch,50,It cost $50.,"A friend asked him, ",Was it expensive?,"Albert said, ", Please provide the probability that someone buys the watch with this price., Please provide the probability that the buyer thinks that the watch is expensive.,True,round,50,50,watch,0.2,gpt-4o-mini,iter4,1.0,0.2
Steve,Steve bought a new watch,51,It cost $51.,"A friend asked him, ",Was it expensive?,"Steve said, ", Please provide the probability that someone buys the watch with this price., Please provide the probability that the buyer thinks that the watch is expensive.,False,sharp,50,51,watch,0.4,gpt-4o-mini,iter4,1.0,0.4
Victor,Victor bought a new watch,500,It cost $500.,"A friend asked him, ",Was it expensive?,"Victor said, ", Please provide the probability that someone buys the watch with this price., Please provide the probability that the buyer thinks that the watch is expensive.,True,round,500,500,watch,0.8,gpt-4o-mini,iter4,1.0,0.8
Gary,Gary bought a new watch,501,It cost $501.,"A friend asked him, ",Was it expensive?,"Gary said, ", Please provide the probability that someone buys the watch with this price., Please provide the probability that the buyer thinks that the watch is expensive.,False,sharp,500,501,watch,0.75,gpt-4o-mini,iter4,1.0,0.75
Owen,Owen bought a new watch,1000,It cost $1000.,"A friend asked him, ",Was it expensive?,"Owen said, ", Please provide the probability that someone buys the watch with this price., Please provide the probability that the buyer thinks that the watch is expensive.,True,round,1000,1000,watch,0.9,gpt-4o-mini,iter4,1.0,0.9
Winston,Winston bought a new watch,1001,It cost $1001.,"A friend asked him, ",Was it expensive?,"Winston said, ", Please provide the probability that someone buys the watch with this price., Please provide the probability that the buyer thinks that the watch is expensive.,False,sharp,1000,1001,watch,0.9,gpt-4o-mini,iter4,1.0,0.9
David,David bought a new watch,5000,It cost $5000.,"A friend asked him, ",Was it expensive?,"David said, ", Please provide the probability that someone buys the watch with this price., Please provide the probability that the buyer thinks that the watch is expensive.,True,round,5000,5000,watch,0.9,gpt-4o-mini,iter4,1.0,0.9
Bob,Bob bought a new watch,5001,It cost $5001.,"A friend asked him, ",Was it expensive?,"Bob said, ", Please provide the probability that someone buys the watch with this price., Please provide the probability that the buyer thinks that the watch is expensive.,False,sharp,5000,5001,watch,0.9,gpt-4o-mini,iter4,1.0,0.9
Kenneth,Kenneth bought a new watch,10000,It cost $10000.,"A friend asked him, ",Was it expensive?,"Kenneth said, ", Please provide the probability that someone buys the watch with this price., Please provide the probability that the buyer thinks that the watch is expensive.,True,round,10000,10000,watch,1.0,gpt-4o-mini,iter4,1.0,1.0
Frank,Frank bought a new watch,10001,It cost $10001.,"A friend asked him, ",Was it expensive?,"Frank said, ", Please provide the probability that someone buys the watch with this price., Please provide the probability that the buyer thinks that the watch is expensive.,False,sharp,10000,10001,watch,1.0,gpt-4o-mini,iter4,1.0,1.0
Jake,Jake bought a new laptop,50,It cost $50.,"A friend asked him, ",Was it expensive?,"Jake said, ", Please provide the probability that someone buys the laptop with this price., Please provide the probability that the buyer thinks that the laptop is expensive.,True,round,50,50,laptop,0.1,gpt-4o-mini,iter4,1.0,0.1
Barry,Barry bought a new laptop,51,It cost $51.,"A friend asked him, ",Was it expensive?,"Barry said, ", Please provide the probability that someone buys the laptop with this price., Please provide the probability that the buyer thinks that the laptop is expensive.,False,sharp,50,51,laptop,0.3,gpt-4o-mini,iter4,1.0,0.3
Luke,Luke bought a new laptop,500,It cost $500.,"A friend asked him, ",Was it expensive?,"Luke said, ", Please provide the probability that someone buys the laptop with this price., Please provide the probability that the buyer thinks that the laptop is expensive.,True,round,500,500,laptop,0.4,gpt-4o-mini,iter4,1.0,0.4
Steve,Steve bought a new laptop,501,It cost $501.,"A friend asked him, ",Was it expensive?,"Steve said, ", Please provide the probability that someone buys the laptop with this price., Please provide the probability that the buyer thinks that the laptop is expensive.,False,sharp,500,501,laptop,0.7,gpt-4o-mini,iter4,1.0,0.7
Bob,Bob bought a new laptop,1000,It cost $1000.,"A friend asked him, ",Was it expensive?,"Bob said, ", Please provide the probability that someone buys the laptop with this price., Please provide the probability that the buyer thinks that the laptop is expensive.,True,round,1000,1000,laptop,0.8,gpt-4o-mini,iter4,1.0,0.8
Victor,Victor bought a new laptop,1001,It cost $1001.,"A friend asked him, ",Was it expensive?,"Victor said, ", Please provide the probability that someone buys the laptop with this price., Please provide the probability that the buyer thinks that the laptop is expensive.,False,sharp,1000,1001,laptop,0.9,gpt-4o-mini,iter4,1.0,0.9
Albert,Albert bought a new laptop,5000,It cost $5000.,"A friend asked him, ",Was it expensive?,"Albert said, ", Please provide the probability that someone buys the laptop with this price., Please provide the probability that the buyer thinks that the laptop is expensive.,True,round,5000,5000,laptop,1.0,gpt-4o-mini,iter4,1.0,1.0
Matt,Matt bought a new laptop,5001,It cost $5001.,"A friend asked him, ",Was it expensive?,"Matt said, ", Please provide the probability that someone buys the laptop with this price., Please provide the probability that the buyer thinks that the laptop is expensive.,False,sharp,5000,5001,laptop,0.9,gpt-4o-mini,iter4,1.0,0.9
Fred,Fred bought a new laptop,10000,It cost $10000.,"A friend asked him, ",Was it expensive?,"Fred said, ", Please provide the probability that someone buys the laptop with this price., Please provide the probability that the buyer thinks that the laptop is expensive.,True,round,10000,10000,laptop,1.0,gpt-4o-mini,iter4,1.0,1.0
David,David bought a new laptop,10001,It cost $10001.,"A friend asked him, ",Was it expensive?,"David said, ", Please provide the probability that someone buys the laptop with this price., Please provide the probability that the buyer thinks that the laptop is expensive.,False,sharp,10000,10001,laptop,1.0,gpt-4o-mini,iter4,1.0,1.0
