item,affect_valence,utterance,utterance_prob,halo,goal,state
electric kettle,0,50,0.3573624864254385,exact,affect,0
electric kettle,0,51,0.04646738342620887,exact,affect,0
electric kettle,0,500,0.42784057367691736,exact,affect,0
electric kettle,0,501,0.013718573365441813,exact,affect,0
electric kettle,0,1000,0.042087493699222975,exact,affect,0
electric kettle,0,1001,0.012046216590942963,exact,affect,0
electric kettle,0,5000,0.020465706562969817,exact,affect,0
electric kettle,0,5001,0.013995706930679098,exact,affect,0
electric kettle,0,10000,0.039998847243276264,exact,affect,0
electric kettle,0,10001,0.026017012078902578,exact,affect,0
electric kettle,1,50,0.15777331310870432,exact,affect,0
electric kettle,1,51,0.022223699747973755,exact,affect,0
electric kettle,1,500,0.1485853106318607,exact,affect,0
electric kettle,1,501,0.03091245804598001,exact,affect,0
electric kettle,1,1000,0.31455510507604834,exact,affect,0
electric kettle,1,1001,0.027970748723469496,exact,affect,0
electric kettle,1,5000,0.16586252385066566,exact,affect,0
electric kettle,1,5001,0.03520398462109362,exact,affect,0
electric kettle,1,10000,0.05304599013390326,exact,affect,0
electric kettle,1,10001,0.0438668660603008,exact,affect,0
laptop,0,50,0.27678382658644124,exact,affect,0
laptop,0,51,0.017518137838004058,exact,affect,0
laptop,0,500,0.4088043959255179,exact,affect,0
laptop,0,501,0.009906952586036208,exact,affect,0
laptop,0,1000,0.14305609013692147,exact,affect,0
laptop,0,1001,0.009518495418846385,exact,affect,0
laptop,0,5000,0.06427924479188286,exact,affect,0
laptop,0,5001,0.010311262990959625,exact,affect,0
laptop,0,10000,0.05011081194404471,exact,affect,0
laptop,0,10001,0.009710781781345618,exact,affect,0
laptop,1,50,0.039201738641943665,exact,affect,0
laptop,1,51,0.030837179818002193,exact,affect,0
laptop,1,500,0.14822347467332037,exact,affect,0
laptop,1,501,0.03083717981800219,exact,affect,0
laptop,1,1000,0.2543524996763013,exact,affect,0
laptop,1,1001,0.030530344752106274,exact,affect,0
laptop,1,5000,0.17394185886532082,exact,affect,0
laptop,1,5001,0.032744044523145714,exact,affect,0
laptop,1,10000,0.2255904300930061,exact,affect,0
laptop,1,10001,0.03374124913885132,exact,affect,0
watch,0,50,0.21911642703284098,exact,affect,0
watch,0,51,0.03625593959728376,exact,affect,0
watch,0,500,0.3470966317476654,exact,affect,0
watch,0,501,0.01124139805488719,exact,affect,0
watch,0,1000,0.16726898726922854,exact,affect,0
watch,0,1001,0.028207932108577013,exact,affect,0
watch,0,5000,0.09650581048751747,exact,affect,0
watch,0,5001,0.011468489359370077,exact,affect,0
watch,0,10000,0.07078189296002783,exact,affect,0
watch,0,10001,0.012056491382601746,exact,affect,0
watch,1,50,0.03524936729015413,exact,affect,0
watch,1,51,0.03157758646612494,exact,affect,0
watch,1,500,0.19489239385788146,exact,affect,0
watch,1,501,0.01858672432440911,exact,affect,0
watch,1,1000,0.2765654715913756,exact,affect,0
watch,1,1001,0.015997741881632565,exact,affect,0
watch,1,5000,0.12805342759046456,exact,affect,0
watch,1,5001,0.08338326084119542,exact,affect,0
watch,1,10000,0.17634593045321298,exact,affect,0
watch,1,10001,0.03934809570354929,exact,affect,0
electric kettle,0,50,0.44251386890891864,exact,state,50
electric kettle,0,51,0.06685137061125103,exact,state,50
electric kettle,0,500,0.06171159298959696,exact,state,50
electric kettle,0,501,0.06171159298959696,exact,state,50
electric kettle,0,1000,0.06171159298959696,exact,state,50
electric kettle,0,1001,0.0604896215760494,exact,state,50
