item,affect_valence,utterance,utterance_prob,halo,goal,state
electric kettle,0,50,0.15081095462840535,exact,affect,0
electric kettle,0,51,0.03137549255710292,exact,affect,0
electric kettle,0,500,0.18420091594390245,exact,affect,0
electric kettle,0,501,0.03140688374263686,exact,affect,0
electric kettle,0,1000,0.2035734953840978,exact,affect,0
electric kettle,0,1001,0.03044820661492499,exact,affect,0
electric kettle,0,5000,0.15385753800261334,exact,affect,0
electric kettle,0,5001,0.005618288591026146,exact,affect,0
electric kettle,0,10000,0.2035734953840978,exact,affect,0
electric kettle,0,10001,0.0051347291511923444,exact,affect,0
electric kettle,1,50,0.1629888536240517,exact,affect,0
electric kettle,1,51,0.027762378583011893,exact,affect,0
electric kettle,1,500,0.1713454708464281,exact,affect,0
electric kettle,1,501,0.02832321583271884,exact,affect,0
electric kettle,1,1000,0.17833821216603013,exact,affect,0
electric kettle,1,1001,0.022503746710049573,exact,affect,0
electric kettle,1,5000,0.17833821216603013,exact,affect,0
electric kettle,1,5001,0.022279830689017965,exact,affect,0
electric kettle,1,10000,0.1856163326726122,exact,affect,0
electric kettle,1,10001,0.022503746710049573,exact,affect,0
laptop,0,50,0.1507956091657309,exact,affect,0
laptop,0,51,0.03106014040677666,exact,affect,0
laptop,0,500,0.18418217295346676,exact,affect,0
laptop,0,501,0.02568546681094726,exact,affect,0
laptop,0,1000,0.18418217295346676,exact,affect,0
laptop,0,1001,0.02620434765974116,exact,affect,0
laptop,0,5000,0.18418217295346676,exact,affect,0
laptop,0,5001,0.0045993975991448326,exact,affect,0
laptop,0,10000,0.18418217295346676,exact,affect,0
laptop,0,10001,0.024926346543792215,exact,affect,0
laptop,1,50,0.13976227619549458,exact,affect,0
laptop,1,51,0.028787548564705053,exact,affect,0
laptop,1,500,0.175904802207416,exact,affect,0
laptop,1,501,0.02907686823772395,exact,affect,0
laptop,1,1000,0.18126190097882827,exact,affect,0
laptop,1,1001,0.023102548870433573,exact,affect,0
laptop,1,5000,0.18126190097882836,exact,affect,0
laptop,1,5001,0.02333473334665159,exact,affect,0
